label,x,y,score,class,year,citations,title,doi
Akira Miyake & Priti Shah (1999),5094.266,7496.911,0.051,3,1999,2422,Models of Working Memory: Mechanisms of Active Maintenance and Executive Control,10.1017/cbo9781139174909
Joy Paul. Fuilford (1967),5860.467,7654.864,0,3,1967,3888,The nature of human intelligence,
Frank Coffield et al. (2004),6704.622,6980.427,0,3,2004,1823,Learning styles and pedagogy in post-16 learning: a systematic and critical review,
Maurice Bloch et al. (1994),8210.023,6146.771,0.001,3,1994,39769,Situated Learning: Legitimate Peripheral Participation.,10.2307/2804509
Jean Lave & Étienne Wenger (1991),8465.52,6503.677,0,3,1991,31126,Situated Learning,10.1017/cbo9780511815355
Michael Tomasello et al. (1993),7186.849,6260.561,0,3,1993,1752,Cultural learning,10.1017/s0140525x0003123x
Michael Tomasello & Josep Call (1997),7523.069,6261.774,0,3,1997,1389,Primate cognition,10.1093/oso/9780195106237.001.0001
Felix Warneken & Michael Tomasello (2006),7591.275,5881.505,0.002,3,2006,1598,Altruistic Helping in Human Infants and Young Chimpanzees,10.1126/science.1121448
David Premack & Guy Woodruff (1978),5622.989,5301.713,0,3,1978,8446,Does the chimpanzee have a theory of mind?,10.1017/s0140525x00076512
C. R. Gallistel & Rochel Gelman (1992),4916.379,4774.519,0.002,3,1992,1370,Preverbal and verbal counting and computation,10.1016/0010-0277(92)90050-r
R. J. Herrnstein (1970),6356.105,3669.128,0,3,1970,2611,ON THE LAW OF EFFECT<sup>1</sup>,10.1901/jeab.1970.13-243
Robert R. Bush & Frederick Mosteller (1955),5545.982,1545.877,0,3,1955,1524,Stochastic models for learning.,10.1037/14496-000
Frederick Mosteller & John W. Tukey (1977),4422.664,-3779.646,0,1,1977,1581,Data Analysis and Regression: A Second Course in Statistics,
Jerome H. Friedman & John W. Tukey (1974),2335.192,-3308.173,0.003,1,1974,1639,A Projection Pursuit Algorithm for Exploratory Data Analysis,10.1109/t-c.1974.224051
C. T. Zahn (1971),2079.013,-2076.813,0.004,0,1971,1742,Graph-Theoretical Methods for Detecting and Describing Gestalt Clusters,10.1109/t-c.1971.223083
H.E. Blum (1967),-1010.003,-4307.612,0,0,1967,1676,A transformation for extracting new descriptors of shape,
Lena Gorelick et al. (2007),-3226.203,-3609.207,0.002,0,2007,1407,Actions as Space-Time Shapes,10.1109/tpami.2007.70711
Ronen Basri & David W. Jacobs (2003),-2112.607,-4602.624,0.001,0,2003,1571,Lambertian reflectance and linear subspaces,10.1109/tpami.2003.1177153
Berthold K. P. Horn (1986),-2305.391,-3959.637,0,0,1986,3632,Robot Vision,
